@relation 'final_des3 - Copy-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last_clustered'

@attribute Instance_number numeric
@attribute DATE {Weekday,Weekends}
@attribute TIME {Night,Evening,Mid_Night,Early_Morning,Afternoon,Morning,Noon}
@attribute Road_type {Road,highway}
@attribute ENVIRONMENT {'01 - Clear','05 - Drifting Snow','03 - Snow','02 - Rain','04 - Freezing Rain','07 - Fog/mist/smoke/dust','06 - Strong wind','00 - Unknown'}
@attribute LIGHT {'07 - Dark','01 - Daylight','05 - Dusk','03 - Dawn','00 - Unknown'}
@attribute SURFACE_CONDITION {'01 - Dry','06 - Ice','02 - Wet','04 - Slush','03 - Loose snow','05 - Packed snow','00 - Unknown','99 - Other','08 - Loose sand or gravel','07 - Mud','09 - Spilled liquid'}
@attribute TRAFFIC_CONTROL {'10 - No control','02 - Stop sign','01 - Traffic signal','03 - Yield sign','07 - School bus','09 - Traffic controller','11 - Roundabout','08 - Traffic gate',Unknown}
@attribute COLLISION_CLASSIFICATION {Injury,'P.D. only'}
@attribute IMPACT_TYPE {'02 - Angle','01 - Approaching','06 - SMV unattended vehicle','03 - Rear end','07 - SMV other','04 - Sideswipe','05 - Turning movement','99 - Other'}
@attribute Location {Ottawa_west,Ottawa_south,downtown,Ottawa_east,mid_town}
@attribute NO_OF_PEDESTRIANS {0,1,2,4}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8}

@data
0,Weekday,Night,Road,'01 - Clear','07 - Dark','01 - Dry','10 - No control',Injury,'02 - Angle',Ottawa_west,0,cluster1
1,Weekends,Evening,Road,'05 - Drifting Snow','01 - Daylight','06 - Ice','10 - No control','P.D. only','01 - Approaching',Ottawa_south,0,cluster0
2,Weekday,Night,Road,'03 - Snow','01 - Daylight','06 - Ice','02 - Stop sign','P.D. only','02 - Angle',downtown,0,cluster1
3,Weekends,Night,Road,'01 - Clear','01 - Daylight','02 - Wet','02 - Stop sign','P.D. only','02 - Angle',downtown,0,cluster3
4,Weekday,Mid_Night,Road,'02 - Rain','07 - Dark','02 - Wet','10 - No control','P.D. only','06 - SMV unattended vehicle',downtown,0,cluster4
5,Weekday,Night,Road,'01 - Clear','07 - Dark','01 - Dry','01 - Traffic signal','P.D. only','03 - Rear end',Ottawa_east,0,cluster6
6,Weekends,Night,Road,'01 - Clear','01 - Daylight','06 - Ice','10 - No control','P.D. only','02 - Angle',Ottawa_east,0,cluster1
7,Weekends,Night,Road,'01 - Clear','07 - Dark','02 - Wet','02 - Stop sign','P.D. only','02 - Angle',Ottawa_east,0,cluster3
8,Weekday,Night,Road,'01 - Clear','07 - Dark','01 - Dry','10 - No control','P.D. only','07 - SMV other',Ottawa_west,0,cluster1
9,Weekends,Evening,Road,'01 - Clear','01 - Daylight','01 - Dry','01 - Traffic signal','P.D. only','03 - Rear end',Ottawa_east,0,cluster3
